Ozone,Temp,Press,RH,WindDir,WindSpeed,Rainfall,Latitude,Longitude,InstrumentDT,ServerDT,GMTOffset,InstrumentD,InstrumentT,ServerD,ServerT
60.1,86.1,29.909,72,82,0,0,38.325623,-90.212738,8/4/2016 12:39:10,8/4/2016 17:08,0,8/4/2016,12:39:10,8/4/2016,17:08:08
60.2,86.2,29.903,70,86,1,0,38.325623,-90.212738,8/4/2016 12:54:10,8/4/2016 17:23,0,8/4/2016,12:54:10,8/4/2016,17:23:08
62,87.2,29.902,70,98,0,0,38.325623,-90.212738,8/4/2016 13:09:10,8/4/2016 17:38,0,8/4/2016,13:09:10,8/4/2016,17:38:08
61.8,87.3,29.898,70,101,0,0,38.325623,-90.212738,8/4/2016 13:24:10,8/4/2016 17:53,0,8/4/2016,13:24:10,8/4/2016,17:53:08
62.1,88.4,29.894,67,96,0,0,38.325623,-90.212738,8/4/2016 13:39:10,8/4/2016 18:08,0,8/4/2016,13:39:10,8/4/2016,18:08:08
66.1,90.7,29.897,62,103,0,0,38.325623,-90.212738,8/4/2016 13:54:10,8/4/2016 18:23,0,8/4/2016,13:54:10,8/4/2016,18:23:08
65.9,89.9,29.896,64,103,1,0,38.325623,-90.212738,8/4/2016 14:09:10,8/4/2016 18:38,0,8/4/2016,14:09:10,8/4/2016,18:38:08
64.1,90.9,29.89,62,102,0,0,38.325623,-90.212738,8/4/2016 14:24:10,8/4/2016 18:53,0,8/4/2016,14:24:10,8/4/2016,18:53:08
61.9,91.7,29.886,60,94,0,0,38.325623,-90.212738,8/4/2016 14:39:10,8/4/2016 19:08,0,8/4/2016,14:39:10,8/4/2016,19:08:07
59.8,91.8,29.881,58,107,1,0,38.325623,-90.212738,8/4/2016 14:54:10,8/4/2016 19:23,0,8/4/2016,14:54:10,8/4/2016,19:23:07
62.7,93.6,29.877,55,108,0,0,38.325623,-90.212738,8/4/2016 15:09:10,8/4/2016 19:38,0,8/4/2016,15:09:10,8/4/2016,19:38:07
64.9,94.6,29.874,53,98,0,0,38.325623,-90.212738,8/4/2016 15:24:10,8/4/2016 19:53,0,8/4/2016,15:24:10,8/4/2016,19:53:08
65,94.6,29.869,53,91,0,0,38.325623,-90.212738,8/4/2016 15:39:10,8/4/2016 20:08,0,8/4/2016,15:39:10,8/4/2016,20:08:08
67.4,95.5,29.87,53,103,0,0,38.325623,-90.212738,8/4/2016 15:54:10,8/4/2016 20:23,0,8/4/2016,15:54:10,8/4/2016,20:23:07
67.5,94.3,29.863,54,264,0,0,38.325623,-90.212738,8/4/2016 16:09:10,8/4/2016 20:38,0,8/4/2016,16:09:10,8/4/2016,20:38:07
73.8,95.9,29.861,55,250,0,0,38.325623,-90.212738,8/4/2016 16:24:10,8/4/2016 20:53,0,8/4/2016,16:24:10,8/4/2016,20:53:07
73.3,96.1,29.862,54,98,0,0,38.325623,-90.212738,8/4/2016 16:39:10,8/4/2016 21:08,0,8/4/2016,16:39:10,8/4/2016,21:08:07
74.5,96.8,29.858,54,97,0,0,38.325623,-90.212738,8/4/2016 16:54:10,8/4/2016 21:23,0,8/4/2016,16:54:10,8/4/2016,21:23:07
75,96.3,29.851,54,97,0,0,38.325623,-90.212738,8/4/2016 17:09:10,8/4/2016 21:38,0,8/4/2016,17:09:10,8/4/2016,21:38:07
77.7,95.1,29.849,57,98,0,0,38.325623,-90.212738,8/4/2016 17:24:10,8/4/2016 21:53,0,8/4/2016,17:24:10,8/4/2016,21:53:07
75.9,95.5,29.849,55,98,0,0,38.325623,-90.212738,8/4/2016 17:39:10,8/4/2016 22:08,0,8/4/2016,17:39:10,8/4/2016,22:08:07
75.6,93.4,29.848,60,98,0,0,38.325623,-90.212738,8/4/2016 17:54:10,8/4/2016 22:23,0,8/4/2016,17:54:10,8/4/2016,22:23:07
76.9,92.6,29.845,62,97,0,0,38.325623,-90.212738,8/4/2016 18:09:10,8/4/2016 22:38,0,8/4/2016,18:09:10,8/4/2016,22:38:07
71.2,91.4,29.842,64,97,0,0,38.325623,-90.212738,8/4/2016 18:24:10,8/4/2016 22:53,0,8/4/2016,18:24:10,8/4/2016,22:53:07
71.1,90.3,29.841,66,89,0,0,38.325623,-90.212738,8/4/2016 18:39:10,8/4/2016 23:08,0,8/4/2016,18:39:10,8/4/2016,23:08:07
73.2,90.3,29.84,65,89,0,0,38.325623,-90.212738,8/4/2016 18:54:10,8/4/2016 23:23,0,8/4/2016,18:54:10,8/4/2016,23:23:07
74.5,90.1,29.832,65,84,0,0,38.325623,-90.212738,8/4/2016 19:09:10,8/4/2016 23:38,0,8/4/2016,19:09:10,8/4/2016,23:38:07
69.7,89.3,29.826,67,84,0,0,38.325623,-90.212738,8/4/2016 19:24:10,8/4/2016 23:53,0,8/4/2016,19:24:10,8/4/2016,23:53:07
71.8,88.9,29.822,68,79,0,0,38.325623,-90.212738,8/4/2016 19:39:10,8/5/2016 0:08,0,8/4/2016,19:39:10,8/5/2016,0:08:07
70.8,88.4,29.815,69,79,0,0,38.325623,-90.212738,8/4/2016 19:54:10,8/5/2016 0:23,0,8/4/2016,19:54:10,8/5/2016,0:23:07
68.2,87.8,29.81,71,79,0,0,38.325623,-90.212738,8/4/2016 20:09:10,8/5/2016 0:38,0,8/4/2016,20:09:10,8/5/2016,0:38:07
63.3,87.2,29.811,71,77,0,0,38.325623,-90.212738,8/4/2016 20:24:10,8/5/2016 0:53,0,8/4/2016,20:24:10,8/5/2016,0:53:07
60,86.7,29.811,72,77,0,0,38.325623,-90.212738,8/4/2016 20:39:10,8/5/2016 1:08,0,8/4/2016,20:39:10,8/5/2016,1:08:07
50.7,86.2,29.815,74,90,0,0,38.325623,-90.212738,8/4/2016 20:54:10,8/5/2016 1:23,0,8/4/2016,20:54:10,8/5/2016,1:23:07
45.6,85.7,29.824,75,77,0,0,38.325623,-90.212738,8/4/2016 21:09:10,8/5/2016 1:38,0,8/4/2016,21:09:10,8/5/2016,1:38:06
42.1,85.1,29.83,77,75,0,0,38.325623,-90.212738,8/4/2016 21:24:10,8/5/2016 1:53,0,8/4/2016,21:24:10,8/5/2016,1:53:07
40.7,84.5,29.842,78,84,0,0,38.325623,-90.212738,8/4/2016 21:39:10,8/5/2016 2:08,0,8/4/2016,21:39:10,8/5/2016,2:08:06
41.4,84.2,29.844,78,83,0,0,38.325623,-90.212738,8/4/2016 21:54:10,8/5/2016 2:23,0,8/4/2016,21:54:10,8/5/2016,2:23:06
39.5,83.8,29.851,79,84,0,0,38.325623,-90.212738,8/4/2016 22:09:10,8/5/2016 2:38,0,8/4/2016,22:09:10,8/5/2016,2:38:06
37.7,83.3,29.858,81,84,0,0,38.325623,-90.212738,8/4/2016 22:24:10,8/5/2016 2:53,0,8/4/2016,22:24:10,8/5/2016,2:53:06
37.6,83.1,29.866,81,84,0,0,38.325623,-90.212738,8/4/2016 22:39:10,8/5/2016 3:08,0,8/4/2016,22:39:10,8/5/2016,3:08:06
33.7,82.4,29.877,82,84,0,0,38.325623,-90.212738,8/4/2016 22:54:10,8/5/2016 3:23,0,8/4/2016,22:54:10,8/5/2016,3:23:06
32.8,82.1,29.879,83,88,0,0,38.325623,-90.212738,8/4/2016 23:09:10,8/5/2016 3:38,0,8/4/2016,23:09:10,8/5/2016,3:38:06
33.6,82.1,29.873,83,88,1,0,38.325623,-90.212738,8/4/2016 23:24:10,8/5/2016 3:53,0,8/4/2016,23:24:10,8/5/2016,3:53:06
34.8,82.1,29.87,83,81,0,0,38.325623,-90.212738,8/4/2016 23:39:10,8/5/2016 4:08,0,8/4/2016,23:39:10,8/5/2016,4:08:06
34.1,81.9,29.866,83,79,0,0,38.325623,-90.212738,8/4/2016 23:54:10,8/5/2016 4:23,0,8/4/2016,23:54:10,8/5/2016,4:23:06
33.2,81.6,29.861,83,86,0,0,38.325623,-90.212738,8/5/2016 0:09:10,8/5/2016 4:38,0,8/5/2016,0:09:10,8/5/2016,4:38:06
33.7,81.4,29.85,84,89,0,0,38.325623,-90.212738,8/5/2016 0:24:10,8/5/2016 4:53,0,8/5/2016,0:24:10,8/5/2016,4:53:06
32.3,81.1,29.84,84,85,0,0,38.325623,-90.212738,8/5/2016 0:39:10,8/5/2016 5:08,0,8/5/2016,0:39:10,8/5/2016,5:08:06
31.4,81.2,29.838,83,99,1,0,38.325623,-90.212738,8/5/2016 0:54:10,8/5/2016 5:23,0,8/5/2016,0:54:10,8/5/2016,5:23:06
31.8,81.1,29.841,84,90,0,0,38.325623,-90.212738,8/5/2016 1:09:10,8/5/2016 5:38,0,8/5/2016,1:09:10,8/5/2016,5:38:06
30.9,81.1,29.845,84,77,0,0,38.325623,-90.212738,8/5/2016 1:24:10,8/5/2016 5:53,0,8/5/2016,1:24:10,8/5/2016,5:53:06
30.9,81,29.841,84,90,1,0,38.325623,-90.212738,8/5/2016 1:39:10,8/5/2016 6:08,0,8/5/2016,1:39:10,8/5/2016,6:08:06
29.5,80.9,29.838,85,86,1,0,38.325623,-90.212738,8/5/2016 1:54:10,8/5/2016 6:23,0,8/5/2016,1:54:10,8/5/2016,6:23:06
27.5,80.9,29.837,85,88,1,0,38.325623,-90.212738,8/5/2016 2:09:10,8/5/2016 6:38,0,8/5/2016,2:09:10,8/5/2016,6:38:06
28.2,80.8,29.841,86,90,1,0,38.325623,-90.212738,8/5/2016 2:24:10,8/5/2016 6:53,0,8/5/2016,2:24:10,8/5/2016,6:53:06
26,80.6,29.842,86,86,1,0,38.325623,-90.212738,8/5/2016 2:39:10,8/5/2016 7:08,0,8/5/2016,2:39:10,8/5/2016,7:08:06
23.5,80.4,29.839,87,93,1,0,38.325623,-90.212738,8/5/2016 2:54:10,8/5/2016 7:23,0,8/5/2016,2:54:10,8/5/2016,7:23:06
21.9,80.3,29.835,88,86,0,0,38.325623,-90.212738,8/5/2016 3:09:09,8/5/2016 7:38,0,8/5/2016,3:09:09,8/5/2016,7:38:06
21.3,80.2,29.833,88,92,0,0,38.325623,-90.212738,8/5/2016 3:24:09,8/5/2016 7:53,0,8/5/2016,3:24:09,8/5/2016,7:53:06
19.3,80,29.843,89,92,0,0,38.325623,-90.212738,8/5/2016 3:39:09,8/5/2016 8:08,0,8/5/2016,3:39:09,8/5/2016,8:08:05
17.3,79.8,29.864,90,148,0,0,38.325623,-90.212738,8/5/2016 3:54:09,8/5/2016 8:23,0,8/5/2016,3:54:09,8/5/2016,8:23:05
35.8,78,29.869,82,243,3,0,38.325623,-90.212738,8/5/2016 4:09:09,8/5/2016 8:38,0,8/5/2016,4:09:09,8/5/2016,8:38:05
45.1,76.7,29.881,82,255,2,0,38.325623,-90.212738,8/5/2016 4:24:09,8/5/2016 8:53,0,8/5/2016,4:24:09,8/5/2016,8:53:05
49.6,75.9,29.879,83,254,3,0,38.325623,-90.212738,8/5/2016 4:39:09,8/5/2016 9:08,0,8/5/2016,4:39:09,8/5/2016,9:08:05
54.2,75.5,29.887,82,300,2,0,38.325623,-90.212738,8/5/2016 4:54:09,8/5/2016 9:23,0,8/5/2016,4:54:09,8/5/2016,9:23:05
55.2,75.1,29.878,82,243,1,0,38.325623,-90.212738,8/5/2016 5:09:09,8/5/2016 9:38,0,8/5/2016,5:09:09,8/5/2016,9:38:05
54.9,73.9,29.885,82,245,2,0,38.325623,-90.212738,8/5/2016 5:24:09,8/5/2016 9:53,0,8/5/2016,5:24:09,8/5/2016,9:53:05
55.7,3276.7,29.922,255,32767,255,0,38.325623,-90.212738,8/5/2016 5:39:09,8/5/2016 10:08,0,8/5/2016,5:39:09,8/5/2016,10:08:05
47,3276.7,29.909,255,32767,255,0,38.325623,-90.212738,8/5/2016 5:54:09,8/5/2016 10:23,0,8/5/2016,5:54:09,8/5/2016,10:23:05
44,3276.7,29.896,255,32767,255,0,38.325623,-90.212738,8/5/2016 6:09:09,8/5/2016 10:38,0,8/5/2016,6:09:09,8/5/2016,10:38:05
41.4,3276.7,29.889,255,32767,255,0,38.325623,-90.212738,8/5/2016 6:24:09,8/5/2016 10:53,0,8/5/2016,6:24:09,8/5/2016,10:53:05
38.5,3276.7,29.891,255,32767,255,0,38.325623,-90.212738,8/5/2016 6:39:09,8/5/2016 11:08,0,8/5/2016,6:39:09,8/5/2016,11:08:05
34,3276.7,29.884,255,32767,255,0,38.325623,-90.212738,8/5/2016 6:54:09,8/5/2016 11:23,0,8/5/2016,6:54:09,8/5/2016,11:23:05
30.4,3276.7,29.883,255,32767,255,0,38.325623,-90.212738,8/5/2016 7:09:09,8/5/2016 11:38,0,8/5/2016,7:09:09,8/5/2016,11:38:05
28.9,3276.7,29.897,255,32767,255,0,38.325623,-90.212738,8/5/2016 7:24:09,8/5/2016 11:53,0,8/5/2016,7:24:09,8/5/2016,11:53:05
28.7,3276.7,29.899,255,32767,255,0,38.325623,-90.212738,8/5/2016 7:39:09,8/5/2016 12:08,0,8/5/2016,7:39:09,8/5/2016,12:08:05
27.1,3276.7,29.889,255,32767,255,0,38.325623,-90.212738,8/5/2016 7:54:09,8/5/2016 12:23,0,8/5/2016,7:54:09,8/5/2016,12:23:05
28,3276.7,29.89,255,32767,255,0,38.325623,-90.212738,8/5/2016 8:09:09,8/5/2016 12:38,0,8/5/2016,8:09:09,8/5/2016,12:38:05
25.1,3276.7,29.899,255,32767,255,0,38.325623,-90.212738,8/5/2016 8:24:09,8/5/2016 12:53,0,8/5/2016,8:24:09,8/5/2016,12:53:05
22.3,3276.7,29.907,255,32767,255,0,38.325623,-90.212738,8/5/2016 8:39:09,8/5/2016 13:08,0,8/5/2016,8:39:09,8/5/2016,13:08:05
27,3276.7,29.906,255,32767,255,0,38.325623,-90.212738,8/5/2016 8:54:09,8/5/2016 13:23,0,8/5/2016,8:54:09,8/5/2016,13:23:05
26.2,3276.7,29.892,255,32767,255,0,38.325623,-90.212738,8/5/2016 9:09:09,8/5/2016 13:38,0,8/5/2016,9:09:09,8/5/2016,13:38:05
24.6,72,29.891,96,113,0,0,38.325623,-90.212738,8/5/2016 9:24:09,8/5/2016 13:53,0,8/5/2016,9:24:09,8/5/2016,13:53:05
21.1,72.6,29.886,96,113,0,0.01,38.325623,-90.212738,8/5/2016 9:39:09,8/5/2016 14:08,0,8/5/2016,9:39:09,8/5/2016,14:08:13
21.4,72.8,29.894,96,113,0,0.01,38.325623,-90.212738,8/5/2016 9:54:09,8/5/2016 14:23,0,8/5/2016,9:54:09,8/5/2016,14:23:05
22.4,72.9,29.892,96,108,0,0.01,38.325623,-90.212738,8/5/2016 10:09:09,8/5/2016 14:38,0,8/5/2016,10:09:09,8/5/2016,14:38:05
26.2,73,29.891,96,108,0,0.01,38.325623,-90.212738,8/5/2016 10:24:09,8/5/2016 14:53,0,8/5/2016,10:24:09,8/5/2016,14:53:05
24.5,73.2,29.887,96,103,0,0.01,38.325623,-90.212738,8/5/2016 10:39:09,8/5/2016 15:08,0,8/5/2016,10:39:09,8/5/2016,15:08:04
23.6,73.4,29.882,96,103,0,0.01,38.325623,-90.212738,8/5/2016 10:54:09,8/5/2016 15:23,0,8/5/2016,10:54:09,8/5/2016,15:23:05
22.7,73.6,29.873,95,103,0,0.01,38.325623,-90.212738,8/5/2016 11:09:09,8/5/2016 15:38,0,8/5/2016,11:09:09,8/5/2016,15:38:05
27,75.6,29.894,94,100,0,0.02,38.325623,-90.212738,8/5/2016 12:16:31,8/5/2016 16:45,0,8/5/2016,12:16:31,8/5/2016,16:45:26
28.8,76.1,29.884,93,84,0,0.02,38.325623,-90.212738,8/5/2016 12:31:31,8/5/2016 17:00,0,8/5/2016,12:31:31,8/5/2016,17:00:27
29.9,76.7,29.882,93,104,0,0.02,38.325623,-90.212738,8/5/2016 12:46:31,8/5/2016 17:15,0,8/5/2016,12:46:31,8/5/2016,17:15:26
34.8,77.7,29.888,90,85,0,0.02,38.325623,-90.212738,8/5/2016 13:01:31,8/5/2016 17:30,0,8/5/2016,13:01:31,8/5/2016,17:30:26
32.2,78.3,29.891,89,85,0,0.02,38.325623,-90.212738,8/5/2016 13:16:31,8/5/2016 17:45,0,8/5/2016,13:16:31,8/5/2016,17:45:27
28.7,78.1,29.888,89,85,0,0.02,38.325623,-90.212738,8/5/2016 13:31:31,8/5/2016 18:00,0,8/5/2016,13:31:31,8/5/2016,18:00:26
