Ozone,Temp,Press,RH,WindDir,WindSpeed,Rainfall,Latitude,Longitude,InstrumentDT,ServerDT,GMTOffset,InstrumentD,InstrumentT,ServerD,ServerT
79.7,83.2,29.902,77,125,0,0.97,38.325623,-90.212738,8/3/2016 19:39:11,8/4/2016 0:08,0,8/3/2016,19:39:11,8/4/2016,0:08:10
74,82.9,29.906,78,125,0,0.97,38.325623,-90.212738,8/3/2016 19:54:11,8/4/2016 0:23,0,8/3/2016,19:54:11,8/4/2016,0:23:10
67.9,82.9,29.906,78,125,0,0.97,38.325623,-90.212738,8/3/2016 20:09:11,8/4/2016 0:38,0,8/3/2016,20:09:11,8/4/2016,0:38:10
64,82.5,29.907,79,125,0,0.97,38.325623,-90.212738,8/3/2016 20:24:11,8/4/2016 0:53,0,8/3/2016,20:24:11,8/4/2016,0:53:10
60,81.8,29.91,80,125,0,0.97,38.325623,-90.212738,8/3/2016 20:39:11,8/4/2016 1:08,0,8/3/2016,20:39:11,8/4/2016,1:08:10
55,81,29.908,83,124,0,0.97,38.325623,-90.212738,8/3/2016 20:54:11,8/4/2016 1:23,0,8/3/2016,20:54:11,8/4/2016,1:23:10
43.1,80.1,29.906,84,124,0,0.97,38.325623,-90.212738,8/3/2016 21:09:11,8/4/2016 1:38,0,8/3/2016,21:09:11,8/4/2016,1:38:10
40.9,79.5,29.908,87,124,0,0.97,38.325623,-90.212738,8/3/2016 21:24:11,8/4/2016 1:53,0,8/3/2016,21:24:11,8/4/2016,1:53:10
40.2,78.8,29.912,88,124,0,0.97,38.325623,-90.212738,8/3/2016 21:39:11,8/4/2016 2:08,0,8/3/2016,21:39:11,8/4/2016,2:08:10
33.3,78.4,29.914,89,124,0,0.97,38.325623,-90.212738,8/3/2016 21:54:11,8/4/2016 2:23,0,8/3/2016,21:54:11,8/4/2016,2:23:10
34.5,77.9,29.915,89,124,0,0.97,38.325623,-90.212738,8/3/2016 22:09:11,8/4/2016 2:38,0,8/3/2016,22:09:11,8/4/2016,2:38:10
30.6,77.7,29.914,90,124,0,0.97,38.325623,-90.212738,8/3/2016 22:24:11,8/4/2016 2:53,0,8/3/2016,22:24:11,8/4/2016,2:53:10
28.5,77.3,29.915,90,124,0,0.97,38.325623,-90.212738,8/3/2016 22:39:11,8/4/2016 3:08,0,8/3/2016,22:39:11,8/4/2016,3:08:10
26.3,76.8,29.915,90,124,0,0.97,38.325623,-90.212738,8/3/2016 22:54:11,8/4/2016 3:23,0,8/3/2016,22:54:11,8/4/2016,3:23:10
23.9,76.6,29.914,90,124,0,0.97,38.325623,-90.212738,8/3/2016 23:09:11,8/4/2016 3:38,0,8/3/2016,23:09:11,8/4/2016,3:38:10
21.2,76.3,29.913,91,124,0,0.97,38.325623,-90.212738,8/3/2016 23:24:10,8/4/2016 3:53,0,8/3/2016,23:24:10,8/4/2016,3:53:10
17.2,76.2,29.911,92,124,0,0.97,38.325623,-90.212738,8/3/2016 23:39:10,8/4/2016 4:08,0,8/3/2016,23:39:10,8/4/2016,4:08:10
14.5,75.9,29.906,93,124,0,0.97,38.325623,-90.212738,8/3/2016 23:54:10,8/4/2016 4:23,0,8/3/2016,23:54:10,8/4/2016,4:23:09
12,75.5,29.904,93,124,0,0.97,38.325623,-90.212738,8/4/2016 0:09:10,8/4/2016 4:38,0,8/4/2016,0:09:10,8/4/2016,4:38:09
8.7,75.3,29.902,93,124,0,0.97,38.325623,-90.212738,8/4/2016 0:24:10,8/4/2016 4:53,0,8/4/2016,0:24:10,8/4/2016,4:53:10
6.6,75.1,29.904,94,124,0,0,38.325623,-90.212738,8/4/2016 0:39:10,8/4/2016 5:08,0,8/4/2016,0:39:10,8/4/2016,5:08:09
4.8,74.8,29.902,94,124,0,0,38.325623,-90.212738,8/4/2016 0:54:10,8/4/2016 5:23,0,8/4/2016,0:54:10,8/4/2016,5:23:09
3.5,74.8,29.908,94,124,0,0,38.325623,-90.212738,8/4/2016 1:09:10,8/4/2016 5:38,0,8/4/2016,1:09:10,8/4/2016,5:38:09
2.6,74.5,29.9,95,124,0,0,38.325623,-90.212738,8/4/2016 1:24:10,8/4/2016 5:53,0,8/4/2016,1:24:10,8/4/2016,5:53:09
2.1,74.3,29.9,95,124,0,0,38.325623,-90.212738,8/4/2016 1:39:10,8/4/2016 6:08,0,8/4/2016,1:39:10,8/4/2016,6:08:09
3.7,74.4,29.9,95,124,0,0,38.325623,-90.212738,8/4/2016 1:54:10,8/4/2016 6:23,0,8/4/2016,1:54:10,8/4/2016,6:23:18
3.3,74.3,29.903,96,124,0,0,38.325623,-90.212738,8/4/2016 2:09:10,8/4/2016 6:38,0,8/4/2016,2:09:10,8/4/2016,6:38:09
3.3,74.1,29.902,95,124,0,0,38.325623,-90.212738,8/4/2016 2:24:10,8/4/2016 6:53,0,8/4/2016,2:24:10,8/4/2016,6:53:09
1,74,29.902,96,124,0,0,38.325623,-90.212738,8/4/2016 2:39:10,8/4/2016 7:08,0,8/4/2016,2:39:10,8/4/2016,7:08:09
0.9,73.8,29.9,96,124,0,0,38.325623,-90.212738,8/4/2016 2:54:10,8/4/2016 7:23,0,8/4/2016,2:54:10,8/4/2016,7:23:09
0.6,73.7,29.898,96,124,0,0,38.325623,-90.212738,8/4/2016 3:09:10,8/4/2016 7:38,0,8/4/2016,3:09:10,8/4/2016,7:38:09
0.5,73.7,29.897,96,124,0,0,38.325623,-90.212738,8/4/2016 3:24:10,8/4/2016 7:53,0,8/4/2016,3:24:10,8/4/2016,7:53:09
0.2,73.5,29.891,96,124,0,0,38.325623,-90.212738,8/4/2016 3:39:10,8/4/2016 8:08,0,8/4/2016,3:39:10,8/4/2016,8:08:09
0.6,73.5,29.891,97,124,0,0,38.325623,-90.212738,8/4/2016 3:54:10,8/4/2016 8:23,0,8/4/2016,3:54:10,8/4/2016,8:23:09
1.3,73.5,29.893,97,124,0,0,38.325623,-90.212738,8/4/2016 4:09:10,8/4/2016 8:38,0,8/4/2016,4:09:10,8/4/2016,8:38:09
1.1,73.4,29.894,97,124,0,0,38.325623,-90.212738,8/4/2016 4:24:10,8/4/2016 8:53,0,8/4/2016,4:24:10,8/4/2016,8:53:09
0.6,73.2,29.892,97,124,0,0,38.325623,-90.212738,8/4/2016 4:39:10,8/4/2016 9:08,0,8/4/2016,4:39:10,8/4/2016,9:08:09
1.3,73.1,29.894,97,123,0,0,38.325623,-90.212738,8/4/2016 4:54:10,8/4/2016 9:23,0,8/4/2016,4:54:10,8/4/2016,9:23:09
0.8,73,29.896,97,123,0,0,38.325623,-90.212738,8/4/2016 5:09:10,8/4/2016 9:38,0,8/4/2016,5:09:10,8/4/2016,9:38:09
-0.5,72.7,29.895,97,122,0,0,38.325623,-90.212738,8/4/2016 5:24:10,8/4/2016 9:53,0,8/4/2016,5:24:10,8/4/2016,9:53:09
-1.3,72.9,29.896,96,94,0,0,38.325623,-90.212738,8/4/2016 5:39:10,8/4/2016 10:08,0,8/4/2016,5:39:10,8/4/2016,10:08:09
-0.8,3276.7,29.899,255,32767,255,0,38.325623,-90.212738,8/4/2016 5:54:10,8/4/2016 10:23,0,8/4/2016,5:54:10,8/4/2016,10:23:08
-0.6,3276.7,29.907,255,32767,255,0,38.325623,-90.212738,8/4/2016 6:09:10,8/4/2016 10:38,0,8/4/2016,6:09:10,8/4/2016,10:38:08
-0.5,3276.7,29.904,255,32767,255,0,38.325623,-90.212738,8/4/2016 6:24:10,8/4/2016 10:53,0,8/4/2016,6:24:10,8/4/2016,10:53:09
-0.7,3276.7,29.914,255,32767,255,0,38.325623,-90.212738,8/4/2016 6:39:10,8/4/2016 11:08,0,8/4/2016,6:39:10,8/4/2016,11:08:09
-0.6,3276.7,29.912,255,32767,255,0,38.325623,-90.212738,8/4/2016 6:54:10,8/4/2016 11:23,0,8/4/2016,6:54:10,8/4/2016,11:23:08
-0.8,3276.7,29.911,255,32767,255,0,38.325623,-90.212738,8/4/2016 7:09:10,8/4/2016 11:38,0,8/4/2016,7:09:10,8/4/2016,11:38:08
-0.7,3276.7,29.913,255,32767,255,0,38.325623,-90.212738,8/4/2016 7:24:10,8/4/2016 11:53,0,8/4/2016,7:24:10,8/4/2016,11:53:08
-0.7,3276.7,29.912,255,32767,255,0,38.325623,-90.212738,8/4/2016 7:39:10,8/4/2016 12:08,0,8/4/2016,7:39:10,8/4/2016,12:08:08
-0.7,3276.7,29.919,255,32767,255,0,38.325623,-90.212738,8/4/2016 7:54:10,8/4/2016 12:23,0,8/4/2016,7:54:10,8/4/2016,12:23:08
0.2,3276.7,29.917,255,32767,255,0,38.325623,-90.212738,8/4/2016 8:09:10,8/4/2016 12:38,0,8/4/2016,8:09:10,8/4/2016,12:38:09
1.4,3276.7,29.919,255,32767,255,0,38.325623,-90.212738,8/4/2016 8:24:10,8/4/2016 12:53,0,8/4/2016,8:24:10,8/4/2016,12:53:08
3.7,3276.7,29.923,255,32767,255,0,38.325623,-90.212738,8/4/2016 8:39:10,8/4/2016 13:08,0,8/4/2016,8:39:10,8/4/2016,13:08:08
5.8,74.5,29.93,98,99,0,0,38.325623,-90.212738,8/4/2016 8:54:10,8/4/2016 13:23,0,8/4/2016,8:54:10,8/4/2016,13:23:08
9,74.8,29.932,98,99,0,0,38.325623,-90.212738,8/4/2016 9:09:10,8/4/2016 13:38,0,8/4/2016,9:09:10,8/4/2016,13:38:08
12.1,75.3,29.932,97,99,0,0,38.325623,-90.212738,8/4/2016 9:24:10,8/4/2016 13:53,0,8/4/2016,9:24:10,8/4/2016,13:53:08
15.6,76.1,29.93,96,99,0,0,38.325623,-90.212738,8/4/2016 9:39:10,8/4/2016 14:08,0,8/4/2016,9:39:10,8/4/2016,14:08:08
21.9,77.2,29.93,92,103,0,0,38.325623,-90.212738,8/4/2016 9:54:10,8/4/2016 14:23,0,8/4/2016,9:54:10,8/4/2016,14:23:08
25.8,78.5,29.927,89,102,0,0,38.325623,-90.212738,8/4/2016 10:09:10,8/4/2016 14:38,0,8/4/2016,10:09:10,8/4/2016,14:38:08
26.1,79.7,29.922,88,101,0,0,38.325623,-90.212738,8/4/2016 10:24:10,8/4/2016 14:53,0,8/4/2016,10:24:10,8/4/2016,14:53:08
28.6,80.7,29.924,86,100,0,0,38.325623,-90.212738,8/4/2016 10:39:10,8/4/2016 15:08,0,8/4/2016,10:39:10,8/4/2016,15:08:08
31.5,81.4,29.925,84,100,0,0,38.325623,-90.212738,8/4/2016 10:54:10,8/4/2016 15:23,0,8/4/2016,10:54:10,8/4/2016,15:23:08
34.8,82.1,29.926,82,104,0,0,38.325623,-90.212738,8/4/2016 11:09:10,8/4/2016 15:38,0,8/4/2016,11:09:10,8/4/2016,15:38:08
43.3,82.4,29.929,81,92,0,0,38.325623,-90.212738,8/4/2016 11:24:10,8/4/2016 15:53,0,8/4/2016,11:24:10,8/4/2016,15:53:08
51.5,83.9,29.925,78,92,0,0,38.325623,-90.212738,8/4/2016 11:39:10,8/4/2016 16:08,0,8/4/2016,11:39:10,8/4/2016,16:08:08
50.3,84.1,29.92,77,92,0,0,38.325623,-90.212738,8/4/2016 11:54:10,8/4/2016 16:23,0,8/4/2016,11:54:10,8/4/2016,16:23:08
51.6,85,29.914,76,99,0,0,38.325623,-90.212738,8/4/2016 12:09:10,8/4/2016 16:38,0,8/4/2016,12:09:10,8/4/2016,16:38:08
55.4,85.7,29.912,73,86,0,0,38.325623,-90.212738,8/4/2016 12:24:10,8/4/2016 16:53,0,8/4/2016,12:24:10,8/4/2016,16:53:08
