"","Ozone","Temp","Press","RH","WindSpeed","WindDir","Rainfall","Latitude","Longitude","VPD","Site"
"1",33.85,83.425,29.7225,70.5,0.5,145,0.24,38.325623,-90.212738,11.5321342077502,1
"2",37.475,81.2,29.72275,75,1,172.5,0.24,38.325623,-90.212738,9.10233340357712,1
"3",43.9666666666667,82.8,29.7136666666667,71,1.33333333333333,175,0.24,38.325623,-90.212738,11.1086001209657,1
"4",44.725,80.65,29.7065,72.5,0.75,154.75,0.24,38.325623,-90.212738,9.83715229971757,1
"5",37.825,77.65,29.71425,78.5,0,159,0.245,38.325623,-90.212738,7.0234714612511,1
"6",33.925,74.925,29.71275,87,0,120,0.25,38.325623,-90.212738,3.84590692467273,1
"7",26.4,74.525,29.71825,89.75,0,134.25,0.25,38.325623,-90.212738,2.991352118116,1
"8",21.35,74.325,29.73625,90.25,0,100,0.25,38.325623,-90.212738,2.82718300717648,1
"9",21.2,73.525,29.7325,89.75,0,108,0.25,38.325623,-90.212738,2.89070289285103,1
"10",35.75,73.95,29.75025,82,0,132,0.25,38.325623,-90.212738,5.15151732215423,1
"11",37.05,72.95,29.76325,84,0,162,0.25,38.325623,-90.212738,4.43445846906209,1
"12",38.35,71.6,29.77,84.25,0,182,0.125,38.325623,-90.212738,4.16529482288309,1
"13",36.8,70.55,29.795,86,0,206,0,38.325623,-90.212738,3.57362247013243,1
"14",37.475,69.425,29.80075,86.5,0.25,163.75,0,38.325623,-90.212738,3.31751978044052,1
"15",36.425,67.975,29.797,87.75,0.5,199.75,0,38.325623,-90.212738,2.86345810213351,1
"16",38.4,66.925,29.80375,86.25,0,198.75,0,38.325623,-90.212738,3.09633955720996,1
"17",38.475,66.1,29.81825,85.5,0.25,173.75,0,38.325623,-90.212738,3.17574350509878,1
"18",37.4,65.5,29.81975,85.5,0.5,176.5,0,38.325623,-90.212738,3.11165222555165,1
"19",37.8,64.975,29.83575,85.25,0.25,190.75,0,38.325623,-90.212738,3.10691055231708,1
"20",37.7,65,29.841,85,0,201,0,38.325623,-90.212738,3.16236682246837,1
"21",26.9666666666667,73.2333333333333,29.6853333333333,84.3333333333333,1,74.3333333333333,0.07,38.325623,-90.212738,4.38279300319603,1
"22",31.05,75.15,29.67825,78.75,0.75,115,0.07,38.325623,-90.212738,6.35507332397034,1
"23",38.85,77.425,29.665,74.75,1,142.5,0.07,38.325623,-90.212738,8.12390373821611,1
"24",43,78.5,29.636,74,1,75,0.07,38.325623,-90.212738,8.6563195730503,1
"25",37.65,77.525,29.6225,74,1.5,292,0.07,38.325623,-90.212738,8.38916223499561,1
"26",37.55,76.075,29.62525,76,1.25,222.75,0.07,38.325623,-90.212738,7.39360012119109,1
"27",38.65,68.725,29.66,84.5,0.5,173.25,0.2325,38.325623,-90.212738,3.99553899600409,1
"28",35.25,64.85,29.65425,95,0,178.5,0.48,38.325623,-90.212738,1.04918705830191,1
"29",34.05,64.7,29.6575,96,0,162,0.5,38.325623,-90.212738,0.834535214061752,1
"30",30.8,64.9,29.6495,96,0,162,0.5,38.325623,-90.212738,0.840371015004763,1
"31",27.45,64.575,29.65075,97,0,162,0.5,38.325623,-90.212738,0.623171311521589,1
"32",24.725,64,29.66225,97,0,162,0.5,38.325623,-90.212738,0.610787986281708,1
"33",18.6,63.525,29.6665,97.5,0,162,0.5,38.325623,-90.212738,0.500145369038813,1
"34",20.8,63.875,29.6655,98,0,162,0.375,38.325623,-90.212738,0.405403931312122,1
"35",22.05,62.95,29.668,97,0,162,0,38.325623,-90.212738,0.588747286585172,1
"36",16.6,61.7,29.6665,98,0,162,0,38.325623,-90.212738,0.37554521692374,1
"37",14.7,61.85,29.6685,98,0,162,0,38.325623,-90.212738,0.377543423334042,1
"38",17.9,61.525,29.6685,98,0,162,0,38.325623,-90.212738,0.373229049812454,1
"39",15.35,61.025,29.6705,98,0,162,0.0075,38.325623,-90.212738,0.366682204906027,1
"40",16.525,61.075,29.68475,98.25,0,152.5,0.01,38.325623,-90.212738,0.320729655886926,1
"41",16.475,62.45,29.7065,99,0,147.75,0.01,38.325623,-90.212738,0.192828492790817,1
