Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6,,,,,
379.3,10.499,8.661,9.449,11.549,12.073,11.549,9.711,9.711,11.286,17.483,13.287,16.084,27.273,28.671,30.769,9.974,11.549,18.919,21.622,15.541,15.541,18.919,22.297,10.135,18.919,14.865,14.865,20.27,,,,,
380.8,12.434,6.878,9.524,9.259,12.169,11.376,8.995,10.053,9.788,11.724,21.379,17.931,28.966,30.345,30.345,10.317,10.847,18.182,20.28,19.58,16.783,11.189,18.182,10.49,16.783,20.28,20.28,15.385,,,,,
382.4,9.686,6.806,9.686,9.686,10.995,8.115,9.162,9.948,9.162,12.667,13.333,15.333,24.667,32,23.333,8.901,8.639,18.792,16.107,18.792,15.436,14.765,19.463,13.423,18.121,16.779,17.45,14.094,,,,,
384,10.476,8.095,7.857,9.048,11.19,9.524,9.048,10,10.476,13.665,14.286,21.118,27.95,26.708,22.981,8.81,9.286,18.452,13.69,10.119,10.714,16.071,17.262,12.5,16.667,12.5,12.5,14.286,,,,,
385.5,8.977,7.933,8.559,8.768,9.812,8.351,8.768,7.933,10.021,16.848,14.674,16.304,26.63,29.348,25,8.559,9.603,13.043,12.5,15.217,14.674,14.13,17.391,12.5,15.761,9.783,16.848,11.957,,,,,
387.1,9.653,5.985,7.143,8.108,10.425,7.722,9.073,8.687,10.039,11.735,14.796,17.347,25,23.469,25.51,8.301,9.073,12.745,13.235,19.608,14.216,15.196,16.667,12.745,16.176,13.725,12.745,15.196,,,,,
388.6,9.416,7.533,7.156,8.475,9.416,8.286,7.533,7.345,8.286,10.256,17.949,11.795,23.077,23.59,25.128,8.098,7.533,9.852,14.286,13.3,9.852,14.286,13.3,13.3,10.345,11.823,13.793,10.837,,,,,
390.2,8.061,6.142,6.142,7.869,10.365,6.526,8.445,7.678,8.253,14.66,16.754,13.613,23.56,23.037,20.942,8.253,8.445,12.376,12.376,13.366,14.356,11.881,15.347,10.891,17.822,12.871,15.347,11.881,,,,,
391.7,7.255,7.059,6.471,7.255,10,7.059,8.824,7.059,8.039,9.043,17.553,13.83,23.404,23.936,22.34,7.451,7.059,12.435,13.472,12.953,15.026,12.953,16.58,10.363,15.026,11.399,16.062,10.363,,,,,
393.3,8.8,6.4,7.2,8.8,12.2,8.2,7,8,8.2,10.695,12.299,17.647,22.46,23.529,20.856,7,8.2,14.286,14.796,14.286,10.714,14.286,16.837,13.776,16.837,15.306,11.224,13.776,,,,,
394.9,9.405,6.334,7.102,7.678,9.981,6.718,7.678,7.102,7.869,11.94,11.443,16.915,23.383,21.891,21.393,8.061,7.678,13.725,8.824,12.745,11.765,17.157,15.196,10.294,12.745,11.765,10.784,10.294,,,,,
396.4,8.463,6.908,7.254,6.736,8.808,7.945,8.636,8.29,7.945,10.959,14.155,13.699,20.548,21.005,21.918,6.908,8.463,14.783,11.739,12.174,13.478,13.478,15.217,10.87,14.348,14.783,10.435,10.435,,,,,
397.9,7.761,5.522,5.821,6.269,8.358,7.164,6.716,5.97,6.418,9.412,15.294,9.412,18.431,20.784,18.039,7.463,7.313,12.749,9.163,11.554,9.163,12.749,11.952,8.765,10.359,11.155,9.562,8.765,,,,,
399.5,6.326,3.65,5.718,5.474,6.083,5.231,4.623,4.745,6.204,9.574,9.929,12.411,17.73,19.858,19.149,5.474,6.326,12.252,10.265,8.278,9.272,10.927,10.927,7.285,11.921,8.278,8.278,5.96,,,,,
401,5.618,3.269,4.086,4.597,5.516,5.618,4.801,5.209,4.597,7.738,9.226,10.417,14.583,15.476,13.69,5.209,5.005,9.296,6.479,7.606,8.451,7.606,9.296,6.761,9.014,9.577,9.296,5.352,,,,,
402.6,4.657,3.603,4.394,4.218,5.185,4.306,4.306,3.954,4.306,6.494,8.052,8.831,15.325,16.623,14.545,3.954,4.569,8.564,6.297,9.32,7.809,7.809,7.557,6.549,8.312,7.809,6.297,7.305,,,,,
404.1,4.64,2.96,4,4.24,5.2,4.16,4.4,3.76,4.4,6.19,8.095,10,12.143,14.524,12.143,3.84,4.32,9.133,7.26,5.855,7.963,7.026,8.665,5.855,7.494,6.557,6.792,8.431,,,,,
405.7,5.115,3.511,4.198,3.74,4.885,4.122,3.969,3.588,4.046,6.178,8.009,9.611,12.815,14.416,13.73,4.275,3.969,7.761,8.204,8.426,6.874,6.652,7.539,7.095,7.761,8.426,7.095,7.317,,,,,
407.2,4.805,3.509,3.814,4.195,5.111,4.424,3.814,3.661,3.814,6.473,6.92,7.143,14.732,12.723,15.179,4.653,4.043,9.565,6.522,8.913,5.652,7.174,8.043,6.522,7.609,8.478,6.957,7.391,,,,,
408.8,4.714,3.323,4.405,3.787,5.023,4.25,4.019,4.019,4.25,5.669,7.71,7.937,13.605,13.605,13.832,4.405,4.56,6.858,6.416,6.858,6.858,7.743,8.186,5.531,8.85,7.301,5.752,7.743,,,,,
410.3,4.896,3.531,4.093,3.933,5.217,5.457,4.013,3.933,4.254,7.925,8.858,8.625,13.52,15.618,14.219,4.334,4.334,8.565,7.407,8.102,6.944,7.639,8.565,7.407,9.028,6.481,7.639,6.25,,,,,
411.8,5.128,3.888,4.301,4.384,5.542,4.549,4.549,3.888,4.549,6.905,8.81,8.095,13.571,14.762,13.571,5.211,5.045,8.057,7.346,7.583,7.82,6.161,9.716,6.161,7.82,9.005,7.346,6.872,,,,,
413.4,4.69,3.518,4.02,4.606,5.193,4.271,4.104,3.769,4.188,7.914,7.194,8.153,13.909,14.628,15.588,4.774,4.69,8.159,6.76,8.858,7.692,7.226,10.023,6.527,9.324,7.226,8.858,7.692,,,,,
414.9,4.864,4.122,4.122,4.369,5.194,4.946,4.369,4.204,3.875,6.905,8.571,9.048,12.619,15,15.476,4.534,5.441,6.961,7.193,8.353,8.585,7.425,8.585,6.497,6.729,7.425,7.425,7.193,,,,,
416.4,4.928,3.895,3.975,4.213,4.928,4.61,4.054,4.213,3.895,7.159,8.054,10.067,12.975,13.647,14.318,4.531,4.928,7.572,6.236,7.127,7.795,7.572,9.8,6.236,7.35,8.018,9.354,7.572,,,,,
418,4.866,3.558,4.648,4.067,4.938,4.357,4.285,3.849,3.631,7.277,9.771,9.148,13.098,13.721,14.969,4.139,3.704,7.385,7.784,7.385,5.788,6.587,7.984,7.186,6.786,7.186,6.786,7.984,,,,,
419.5,4.418,3.639,3.769,3.769,4.808,4.029,3.444,3.769,4.288,6.839,7.024,7.948,12.754,12.015,12.384,4.548,4.224,7.776,5.425,7.233,6.329,6.872,9.222,4.702,6.51,6.329,7.052,7.052,,,,,
421.1,4.408,2.842,3.828,3.712,4.234,4.176,3.48,3.422,3.944,7.131,8.104,6.645,10.535,11.669,13.452,4.118,4.234,7.154,6.504,6.016,5.203,6.016,7.805,6.179,6.016,5.691,6.341,6.179,,,,,
422.6,4.377,3.283,4.013,3.596,4.846,3.804,3.075,3.179,3.856,5.985,7.007,7.153,11.387,10.949,12.263,4.325,4.117,5.942,5.362,6.377,4.783,6.377,7.971,5.652,5.942,5.652,6.522,7.246,,,,,
424.1,4.476,3.143,3.667,3.667,4.429,3.905,3,3.333,3.762,6.623,7.152,6.093,11.391,11.788,11.391,4,3.667,6.623,4.901,5.96,5.563,6.225,7.285,5.828,7.02,5.43,6.093,6.093,,,,,
425.6,4.281,3.11,3.695,3.47,4.281,3.515,3.155,3.2,3.74,4.926,6.773,6.281,10.345,10.099,11.207,3.785,3.56,5.978,5.729,5.729,5.978,5.604,6.6,5.23,6.227,5.604,6.351,6.227,,,,,
427.2,4.218,2.886,3.774,3.242,4.396,3.908,3.286,3.419,3.552,5.569,6.659,6.538,10.896,11.138,11.864,3.686,3.552,6.349,5.006,5.617,5.372,5.983,7.082,6.105,5.495,5.983,5.372,6.227,,,,,
428.7,4.462,3.168,3.927,3.525,4.239,3.57,3.525,3.659,3.793,5.642,6.363,7.323,11.044,11.044,11.405,4.284,3.838,6.174,5.448,5.932,5.569,5.327,7.506,5.811,5.932,6.174,5.932,5.327,,,,,
430.2,4.564,3.273,3.781,3.642,4.657,4.011,3.596,3.642,3.642,6.046,7.255,6.771,10.399,11.004,12.213,3.919,3.919,6.165,5.795,5.919,5.795,6.165,6.905,4.932,6.658,6.412,5.549,5.795,,,,,
431.8,4.526,3.065,4.008,4.055,4.243,4.149,3.395,3.583,3.913,6.227,6.725,8.344,11.083,11.582,12.951,4.243,4.055,6.574,5.815,6.953,5.436,5.057,8.344,5.563,6.827,6.321,5.689,5.563,,,,,
433.3,4.597,3.365,3.697,3.886,4.787,4.028,3.46,3.791,3.886,6.072,6.444,7.559,10.781,10.409,12.763,4.265,3.981,6.369,6.115,5.605,5.86,5.987,8.917,6.115,6.369,6.369,6.115,5.605,,,,,
434.8,4.634,3.357,3.972,3.641,5.012,4.161,3.357,3.262,3.735,6.7,7.444,6.824,10.174,10.546,12.407,3.83,3.783,5.793,5.038,6.549,5.29,6.297,6.927,5.416,7.053,6.549,5.668,6.297,,,,,
436.4,4.503,3.528,3.9,3.714,4.828,3.668,3.25,3.993,3.714,5.847,7.674,7.308,11.693,10.353,12.302,4.085,3.9,6.897,4.68,6.404,6.404,6.158,7.389,5.419,6.773,6.158,6.527,6.158,,,,,
