Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6
1699,33.08733333,30.98833333,28.27316667,33.2545,35.54733333,33.38425,32.21875,34.65475,33.59408333,31.77108333,38.19766667,33.05366667,45.83916667,43.025,46.41125,35.28683333,37.70941667,34.36175,33.83666667,33.4775,33.46408333,38.428,33.99916667,32.37641667,35.22591667,31.94491667,36.65941667,36.24358333
1700,33.04511111,30.95944444,28.22038889,33.2395,35.52844444,33.37841667,32.14791667,34.63391667,33.54436111,31.76802778,38.08322222,33.01922222,45.76305556,42.98833333,46.35875,35.24961111,37.67747222,34.33425,33.78555556,33.42583333,33.36769444,38.398,33.95972222,32.24447222,35.15563889,31.96797222,36.58080556,36.24219444
1701,33.00288889,30.93055556,28.16761111,33.2245,35.50955556,33.37258333,32.07708333,34.61308333,33.49463889,31.76497222,37.96877778,32.98477778,45.68694444,42.95166667,46.30625,35.21238889,37.64552778,34.30675,33.73444444,33.37416667,33.27130556,38.368,33.92027778,32.11252778,35.08536111,31.99102778,36.50219444,36.24080556
1702,32.96066667,30.90166667,28.11483333,33.2095,35.49066667,33.36675,32.00625,34.59225,33.44491667,31.76191667,37.85433333,32.95033333,45.61083333,42.915,46.25375,35.17516667,37.61358333,34.27925,33.68333333,33.3225,33.17491667,38.338,33.88083333,31.98058333,35.01508333,32.01408333,36.42358333,36.23941667
1703,32.92213889,30.8825,28.09005556,33.19838889,35.46341667,33.35877778,31.97002778,34.56286111,33.39227778,31.73475,37.77080556,32.89955556,45.57361111,42.89369444,46.24072222,35.16069444,37.58611111,34.26672222,33.64738889,33.27025,33.0935,38.29730556,33.81727778,31.90288889,34.94325,32.01438889,36.35858333,36.21333333
1704,32.88519444,30.8675,28.07727778,33.18894444,35.43258333,33.34988889,31.94863889,34.52980556,33.33838889,31.69725,37.70052778,32.84177778,45.55305556,42.87897222,46.24461111,35.15597222,37.56055556,34.26061111,33.61794444,33.21775,33.0185,38.25202778,33.74338889,31.84844444,34.87075,32.00494444,36.29941667,36.17666667
1705,32.84825,30.8525,28.0645,33.1795,35.40175,33.341,31.92725,34.49675,33.2845,31.65975,37.63025,32.784,45.5325,42.86425,46.2485,35.15125,37.535,34.2545,33.5885,33.16525,32.9435,38.20675,33.6695,31.794,34.79825,31.9955,36.24025,36.14
1706,32.80969444,30.83497222,28.05180556,33.16308333,35.36941667,33.32694444,31.90516667,34.46308333,33.23536111,31.62252778,37.57188889,32.73225,45.50827778,42.84116667,46.24758333,35.14691667,37.51347222,34.24544444,33.55602778,33.11188889,32.87888889,38.16575,33.60155556,31.74647222,34.72961111,31.97947222,36.18738889,36.10280556
1707,32.75663889,30.79469444,28.03986111,33.08391667,35.32358333,33.26638889,31.87683333,34.42391667,33.22897222,31.58780556,37.62077778,32.73475,45.45105556,42.74283333,46.20341667,35.14608333,37.52819444,34.20988889,33.49630556,33.05077778,32.90777778,38.16325,33.58711111,31.76119444,34.69572222,31.90419444,36.19127778,36.06086111
1708,32.70358333,30.75441667,28.02791667,33.00475,35.27775,33.20583333,31.8485,34.38475,33.22258333,31.55308333,37.66966667,32.73725,45.39383333,42.6445,46.15925,35.14525,37.54291667,34.17433333,33.43658333,32.98966667,32.93666667,38.16075,33.57266667,31.77591667,34.66183333,31.82891667,36.19516667,36.01891667
